,User,Text,Date,Hashtags
572,lookhearaust,"Making bubbles for outside play, our favourite recipes is: - 1 litre of (hot) water, - 1 cup of quality washing up liquid - 2-4 table spoons of glycerine #lookhearaust #covid19 #stayhomesavelifes #lockdown ",2020-03-31 21:55:40+00:00,#lookhearaust #covid19 #stayhomesavelifes #lockdown
573,WeForNews,"Delhi police detain, let off over 3,000 for violating lockdown #LockDown #DelhiPolice #CoronaVirusIndia #Covid19 ",2020-03-31 21:55:34+00:00,#LockDown #DelhiPolice #CoronaVirusIndia #Covid19
574,Malfunctionin14,I’m just relieved that you are at last getting some mainstream time to air your concerns and an alternative point of view to the braying sheep. This lockdown will see off many of the very people it claims to protect - and not necessarily through Covid19.,2020-03-31 21:55:22+00:00,
575,bparsia,I don’t think I’m going to wear masks during lockdown unless I get COVID19. I’m staying home and being pretty physically distant when I’m out exercising. We’ve done one shop in the past 7 days and are going to push our next one longer. (and only one of us went),2020-03-31 21:55:21+00:00,
576,That_Ilorin_Boi,What do you have to say to #March2020??? #COVID19 #StayAtHome #AskBurna #lockdown #COVIDー19,2020-03-31 21:55:12+00:00,#March2020 #COVID19 #StayAtHome #StayAtHome #AskBurna #lockdown #COVID
577,YonkoTv1,The Lockdown is very Good https://youtu.be/XEEHxuEVjBE via @YouTube #TheLockdown #StayAtHome #lockdown #COVID19,2020-03-31 21:55:11+00:00,#TheLockdown #StayAtHome #StayAtHome #lockdown #COVID19
578,lamoonfacedgirl,Are they prepping us for a nationwide lockdown? #COVID19,2020-03-31 21:55:07+00:00,#COVID19
579,philemonmashapa,"Football is under #lockdown, but what is the game plan against #covid19? Defensive or Offensive? STAY HOME is our goalkeeper, SOLIDARITY is our lone striker in this 4-3-2-1 formation. ",2020-03-31 21:55:07+00:00,#lockdown #covid19
580,SCMPNews,This charity is distributing food to the poor in Karachi. A province-wide #Covid19 lockdown has made it even harder for people to afford food ,2020-03-31 21:55:00+00:00,#Covid19
581,James_Treadwell,"I tell you, not a fan of the #COVID19 lockdown and prison comparisons some are serious in making. This doesn't even get near a very lax open. Oddly what I really miss right now is a gym that make most YOIs look like Ritz Hilton type luxury. The rest is find pretty easy.",2020-03-31 21:54:59+00:00,#COVID19
582,Covid19inPoland,Daily update on #COVIDー19 in #Poland: 2055 confirmed cases as of 30/03 (up from 1862 ). #Deaths: 31 (up from 22) #COVID19 #outbreak #lockdown #exponentialgrowth #forecast,2020-03-31 21:54:58+00:00,#COVID #Poland #Deaths #COVID19 #outbreak #lockdown #exponentialgrowth #forecast
583,sheislaurence,"#IciLondres #GhostTown: Le #lockdown #covid19 a vidé le centre ville, si ce n'est pour les longues queues espacées qui se forment devant les grandes chaînes d'alimentation. Toute la vie s'est déplacée dans les parcs, où la distanciation est peu respectée. #Parklife a la vie dure",2020-03-31 21:54:48+00:00,#IciLondres #GhostTown #lockdown #covid19 #Parklife
584,ChongheeH,#Likhaan Center for Women’s Health in the #Philippines copes to support women’s #FP/RH need in the lockdown of other clinics &amp; offering a shelter/treatment for #GBV victims @likhaanph #covid19 #FP2020,2020-03-31 21:54:38+00:00,#Likhaan #Philippines #FP #GBV #covid19 #FP2020
585,lettershoppe,"Even though you might feel lonely, you are not alone! #Coronavirustruth #TuesdayThoughts #COVID19 #lockdown #StayAtHome",2020-03-31 21:54:34+00:00,#Coronavirustruth #TuesdayThoughts #COVID19 #lockdown #StayAtHome #StayAtHome
586,TapNewsAgency,"#Tunisia: @interieurTn said in statement after Tuesday evening's decision to extend lockdown by 2 weeks from April 5 it ""will continue to deal with all violations &amp; strictly enforce the law for all"", as part of ""its national commitment to combating spread of #COVID19."" #TAP_En",2020-03-31 21:54:31+00:00,#Tunisia #COVID19 #TAP_En
587,ShannonJoyRadio,"Seriously THE BEST part of #Covid19 Lockdown 2020 is the amount of family time we’ve had. I would never trade it for anything in the world. Every girl has to learn how to make the original, @Nestle Tollhouse Chocolate Chip Cookie! #SilverLining #LemonsToLemonade",2020-03-31 21:54:29+00:00,#Covid19 #SilverLining #LemonsToLemonade
588,karmakomik,India is fighting #Covid19 with its eyes closed and it is scary as hell. I just pray that the lockdown works and any of those N theories on weather or built up immunity... ,2020-03-31 21:54:28+00:00,#Covid19
