,User,Text,Date,Hashtags
21,UtkarshV_BJP,#StateGovt should not set specific time for Groceries/Essential Items purchase Markets will be flooded during that time &amp; will cause chaos &amp; #PanicBuying It's #Lockdown not #Curfew with motive of #SocialDistancing #StayHome #COVID19 @ShivAroor #StayHomeIndia #21daylockdown,2020-03-25 10:48:02+00:00,#StateGovt #PanicBuying #Lockdown #Curfew #SocialDistancing #StayHome #StayHome #COVID19 #StayHomeIndia #21daylockdown
22,UtkarshV_BJP,#India Please strictly follow lockdown &amp; Govt Instructions. It's for your own &amp; everyones safety . #IndiaFightsCorona #NewProfilePicture #StayHomeIndia #StayHomeStaySafe #StayHomeSaveLives #StayAtHomeSaveLives #COVID19 #COVID19India #indialockdown #NarendraModi #21daylockdown,2020-03-24 22:32:40+00:00,#India #IndiaFightsCorona #NewProfilePicture #StayHomeIndia #StayHomeStaySafe #StayHomeSaveLives #StayAtHomeSaveLives #StayAtHomeSaveLives #COVID19 #COVID19India #indialockdown #NarendraModi #21daylockdown
23,Gopal_Keshawat,I support CM Ashok Gehlot & the PM’s decision to implement a 21 day lockdown across India. Rajasthan was among the first states to implement a lockdown. United in this fight against #COVID19@@narendramodi @RahulGandhi @ashokgehlot51 @SachinPilot @priyankagandhi @avinashpandeinc,2020-03-24 17:44:04+00:00,#COVID19
24,UtkarshV_BJP,Listen Carefully..Very Important Address By PM #NarendraModi Ji. #India will be under lockdown for next 21 Days. It's very vital that we stay indoors to fight #COVID19 I request everyone to #StayAtHome #StayHomeStaySafe #StayAtHomeSaveLives #StayHomeSaveLives #StayHomeIndia,2020-03-24 17:25:23+00:00,#NarendraModi #India #COVID19 #StayAtHome #StayAtHome #StayHomeStaySafe #StayAtHomeSaveLives #StayAtHomeSaveLives #StayHomeSaveLives #StayHomeIndia
25,Infamous_VB,Me : After 21 days of lockdown #COVID19 #lockdownindia,2020-03-24 16:12:45+00:00,#COVID19 #lockdownindia
26,JaipurInsights,"#BreakingNews: Prime Minister @narendramodi of #India announces complete #lockdown, says nationwide lockdown in India will be for 21 days. Health experts say to break the chain of #CoronaVirus 21 days are very important. #IndiaFightsCorona #StayAtHomeSaveLives #COVID19",2020-03-24 14:56:41+00:00,#BreakingNews #India #lockdown #CoronaVirus #IndiaFightsCorona #StayAtHomeSaveLives #StayAtHomeSaveLives #COVID19
27,sahilsriv,#lockdown #StayAtHomeSaveLives #CoronavirusLockdown #COVIDー19 #CoronavirusPandemic #COVID19outbreak #CautionYesPanicNo #IndiaFightsCorona #WHO #COVID19 #Obama #LetsPrayForCoronaFreeWorld,2020-03-24 07:12:55+00:00,#lockdown #StayAtHomeSaveLives #StayAtHomeSaveLives #CoronavirusLockdown #COVID #CoronavirusPandemic #COVID19outbreak #CautionYesPanicNo #IndiaFightsCorona #WHO #COVID19 #Obama #LetsPrayForCoronaFreeWorld
28,pradeepchapola,I am watching @News18Rajasthan right now #Lockdown has people coming out of their homes. @ashokgehlot51 is requested to order curfew in the state in view of the #Covid19 epidemic in the state. So that the Korena virus can be prevented from spreading. The situation is very serious ,2020-03-24 07:09:28+00:00,#Lockdown #Covid19
29,sudhirkumawat10,आज से निजी वाहनों पर भी रोके ! उलंघन करने पर गाड़ी होगी जबत और जुरमाना देना होगा ! #COVID19 #coronavirus #StayAtHomeSaveLives #StayHome #coronaupdatesindia #lockdown ,2020-03-24 02:12:30+00:00,#COVID19 #coronavirus #StayAtHomeSaveLives #StayAtHomeSaveLives #StayHome #StayHome #coronaupdatesindia #lockdown
30,DDNewsRajasthan,"#Lockdown की स्थिति में आमजन को होने वाली परेशानियों के समाधान के लिए सरकार ने ‘वार रूम‘ बनाया गया है, जो 24 घंटे संचालित होगा। इसके लिए राजस्थान संपर्क की हेल्पलाइन नम्बर 181 पर संपर्क किया जा सकेगा। #राजस्थान_सतर्क_है #COVID19 #RajasthanLockDown",2020-03-23 17:21:08+00:00,#Lockdown #COVID19 #RajasthanLockDown
31,UtkarshV_BJP,"#COVID19 cases are rising in #India I urge everyone to #StayHome &amp; Save Lives Follow All The Precautions, Health Advisories &amp; Govt Instructions #StayHomeIndia #StaySafeStayHealthy #Covid_19india #IndiaFightsCorona #Lockdown #Curfew #corona @narendramodi @IndiaToday",2020-03-23 15:49:26+00:00,#COVID19 #India #StayHome #StayHome #StayHomeIndia #StaySafeStayHealthy #Covid_19india #IndiaFightsCorona #Lockdown #Curfew #corona
32,JethiTech,"#ComingUp @TCS_iON giving free service to schools and colleges and universities to overcome lockdown crises for classes as @vrswamy, Global Head, TCS iON said. #CoronavirusOutbreak #CoronaVirus #COVID19 #coronavirusindia",2020-03-23 13:29:36+00:00,#ComingUp #CoronavirusOutbreak #CoronaVirus #COVID19 #coronavirusindia
33,DrJaiKishanMeen,@aajtak @abpnewshindi @ZeeNewsHindi @ABPNews @1stIndiaNews Lockdown Jaipur against COVID19 Dr Jai Kishan Meena from Jaipur ,2020-03-22 08:51:20+00:00,
34,SimplyGurgaon,"#COVID19 global latest: - 1 billion people in lockdown - India starts 14-hour curfew - Australia about to get v draconian - First 2 virus cases in Gaza - China reports 46 new cases - South Korea reports 48, Philippines 73 - Spain’s death toll over 1300 - Kuwait imposed curfew",2020-03-22 08:23:54+00:00,#COVID19
35,DrJaiKishanMeen,@PMOIndia @PMOIndia @MoHFW_INDIA @aajtak @ABPNews Lockdown Jaipur against COVID19 Dr Jai Kishan Meena From Jaipur ,2020-03-22 08:18:12+00:00,
36,jainavinash,How about a total 14 days lockdown!? I agree a few may have incubation period beyond 14 days but this lockdown may put a break to this potential amplifying loop #covid19 #PreventCoronaVirusSpread #corona @PMOIndia @narendramodi @MoHFW_INDIA @ICMRDELHI @WHO,2020-03-22 05:03:20+00:00,#covid19 #PreventCoronaVirusSpread #corona
37,4PatientCare,"PRACTICING PATHOLOGISTS SOCIETY APPLAUDS and CONGRATULATES @ashokgehlot51 @RajCMO for announcing a TIMELY ""LOCKDOWN"" TO SAVE THE CITIZENS FROM #COVID19.... EXEMPLARY MEASURE @PMOIndia @MoHFW_INDIA @whoindia @bbchealth @TOIIndiaNews @PTI_News @ANI @DainikBhaskar",2020-03-21 16:22:32+00:00,#COVID19
38,thepinkpedals,@anandmahindra “Time &amp; Life are most Precious things in this World “ Don’t let a Virus waste these. #justathought #corona #beatthecorona #bepositive #coronaoutbreak #time #familytime #thepinkpedals #pinkpedalsjaipur #lockdown #saveearth #savelife #bycs #covid_19 #covid19 ,2020-03-18 03:10:55+00:00,#justathought #corona #beatthecorona #bepositive #coronaoutbreak #time #familytime #thepinkpedals #pinkpedalsjaipur #lockdown #saveearth #savelife #bycs #covid_19 #covid19
39,thepinkpedals,“Time & Life are most Precious things in this World “ Don’t let a Virus waste these. #justathought #corona #beatthecorona #bepositive #coronaoutbreak #time #qualitytime #familytime #thepinkpedals #pinkpedalsjaipur #lockdown #saveearth #savelife #bycs #covid_19 #covid19 ,2020-03-17 11:36:13+00:00,#justathought #corona #beatthecorona #bepositive #coronaoutbreak #time #qualitytime #familytime #thepinkpedals #pinkpedalsjaipur #lockdown #saveearth #savelife #bycs #covid_19 #covid19
