,User,Text,Date,Hashtags
51,14Narender,#Riverdale made my #lockdown a lil easier. Don't know where my day exactly goes.Rock On! Terrific Show. #gargoyles #RiverdaleSeason4 @CW_Riverdale @RiverdaleWriter @lilyreinhartt @colesprouse @KJApaBrasil @CamilaMendes @skeetulrich @madelainepetsch #COVID #COVID19 #Corona #India,2020-04-20 06:48:11+00:00,#Riverdale #lockdown #gargoyles #RiverdaleSeason4 #COVID #COVID19 #Corona #India
52,vpsbadnore,Following Hon’ble PM's @PMOIndia @narendramodi strategy of Lockdown /Curfew and #SafeDistancing in #Chandigarh - hailed as the best remedy to fight #COVID19. Happy to see many #NGOs/ #SelfHelpGroups extending help in many many ways here. #StayHomeStaySafe #IndiaFightsCOVID19,2020-04-19 15:01:13+00:00,#SafeDistancing #Chandigarh #COVID19 #NGOs #SelfHelpGroups #StayHomeStaySafe #IndiaFightsCOVID19
53,14Narender,"@BabitaPhogat Pls don't go to such levels. लड़ाई सिर्फ #कोरोनावायरस के खिलाफ ही रहने दें। ज़िम्मेदार बनो, ज़िम्मेदारी निभाओ, वरना गुंडों के ज़ुल्म और आपकी कुश्ती में ज़्यादा अंतर नहीं रह जाता। @ReallySwara #TruthBeTold #TruthMatters #COVID19 #Covid_19 #lockdown #LockdownExtended",2020-04-18 02:53:55+00:00,#TruthBeTold #TruthMatters #COVID19 #Covid_19 #lockdown #LockdownExtended
54,14Narender,"@YUVSTRONG12 Paaji during last 26 days (#lockdown 1 plus #Lockdown2 ) the last video i watch b4 i go to sleep is ""Yuvraj Singh hitting 6 sixes in an over"". Thanks for making our #childhood memories golden #Covid_19 #COVID19 #TruthBeTold #fun",2020-04-17 19:08:14+00:00,#lockdown #Lockdown2 #childhood #Covid_19 #COVID19 #TruthBeTold #fun
55,14Narender,"A friend sent me this & its quite relevant. Sookha, Akaal pada hua hai aajkal. Haha #Covid_19india #Covid_19 #COVIDIOTS #covidindia #COVID19 #coronavirusindia #lockdown #LockdownExtended #liquorban #StayAwareStaySafe #StaySafe #pandemic #TomandJerry #StayAtHome @madversity #fun",2020-04-17 07:23:01+00:00,#Covid_19india #Covid_19 #COVIDIOTS #covidindia #COVID19 #coronavirusindia #lockdown #LockdownExtended #liquorban #StayAwareStaySafe #StaySafe #pandemic #TomandJerry #StayAtHome #StayAtHome #fun
56,theofficexperts,#CoronavirusIndiaOutbreak #StopTheSpread #COVID19 #IndiaFightsCoronavirus #lockdown #BreakTheChain,2020-04-16 08:22:15+00:00,#CoronavirusIndiaOutbreak #StopTheSpread #COVID19 #IndiaFightsCoronavirus #lockdown #BreakTheChain
57,shishupaul02,#WorkingFromHome for #software #support #company and in off time with #family stitching #masks for my #countrymen due to #lockdown #curfew #stayhomestaysafe #covid19 @manuparida1 @RJMeenakshi1 @KirronKherBJP @vpsbadnore @PMOIndia @RajBalaMalik @RawatGurbax – at Sector-45,2020-04-16 08:01:30+00:00,#WorkingFromHome #software #support #company #family #masks #countrymen #lockdown #curfew #stayhomestaysafe #covid19
58,mrealdinesh,One more day less in the arrival of good time #sunrise #sunrisephotography #panchkula #chandigarh #himalayas #himachalmountains #beautifulmorning #morning #lockdown2020 #lockdown #qurantinelife #covi̇d19… https://www.instagram.com/p/B_BczVaFOFp/?igshid=1dz4pfzqjnswt,2020-04-16 01:05:02+00:00,#sunrise #sunrisephotography #panchkula #chandigarh #himalayas #himachalmountains #beautifulmorning #morning #lockdown2020 #lockdown #qurantinelife #covi
59,deepak83s143,We are with you @narendramodi Ji and obey you directions for Lockdown. We will win definitely against #COVID19 @PMOIndia – at Manimajra,2020-04-14 16:01:37+00:00,#COVID19
60,JasbirMalhi1,"Cremains hanged on a tree after cremation at sector 25 Chandigarh, due to all lockers are full, during Lockdown due to COVID19 Pandemic on Wednesday, April 01 2020. Express photo by jasbir Malhi @Sector 25 https://www.instagram.com/p/B-94awElWsP/?igshid=r2ka0ja15mut",2020-04-14 15:49:49+00:00,
