,User,Text,Date,Hashtags
6121,CharlesCrossLPP,Totally unacceptable behaviour from these two chaps on Madeira Road. Words of advice passed about Social Distancing. #Lockdown #StaySafe #StayAtHome #2MetresApart #COVID19 ,2020-03-31 12:35:09+00:00,#Lockdown #StaySafe #StayAtHome #StayAtHome #2MetresApart #COVID19
6122,alriyadhdaily,"#Japan : Prime minister Shinzo Abe and his deputy won't attend meetings together to cut #coronavirus risks as pressure for a #lockdown builds, with domestic cases topping 2,000 - http://alriyadhdaily.com/article/f68d54da045e4c8b82eb0c258bd7d2f2 @AbeShinzo #COVID19 ",2020-03-31 12:35:05+00:00,#Japan #coronavirus #lockdown #COVID19
6123,ghoeberx,"How about putting Dutch and Chinese policy into perspective? China announced lockdowns with only NINE confirmed #COVID19 deaths. The Netherlands has 1039 deaths and still no lockdown. Also keep an eye on Sweden, who don't do lockdowns either.. This was last Friday in Stockholm: ",2020-03-31 12:35:05+00:00,#COVID19
6124,waynebotfc,#COVID19 #coronavirus #messi #StayAtHome #lockdown #Italy,2020-03-31 12:34:59+00:00,#COVID19 #coronavirus #messi #StayAtHome #StayAtHome #lockdown #Italy
6125,VECWarangal,"Dear students and staff members, To prevent the spread of COVID -19, the Government of Telangana and JNTUH have issued orders to extend the holidays from 31.03.2020 to 14.04.2020 Visit us on : https://vecw.edu.in/ #Covid19 #Lockdown #GovernmentofTelangana #JNTUH #StayHome",2020-03-31 12:34:59+00:00,#Covid19 #Lockdown #GovernmentofTelangana #JNTUH #StayHome #StayHome
6126,absy909,Worth a watch https://youtu.be/gAk7aX5hksU #lockdown #TheLockdown #COVID19 #coronavirus #StayAtHome,2020-03-31 12:34:56+00:00,#lockdown #TheLockdown #COVID19 #coronavirus #StayAtHome #StayAtHome
6127,moderndaytrader, Something positive from this event! Let's hope this will spark a longterm change how we treat our planet! #COVID19 #TheLockdown #coronavirus #lockdown ,2020-03-31 12:34:45+00:00,#COVID19 #TheLockdown #coronavirus #lockdown
6128,Ldr_micheal,"How will you feel when the #lockdown affect the telecommunication nextwork, that you are unable to access the social medias. #COVID19 #StayAtHome #TheLockdown #StaySafe",2020-03-31 12:34:44+00:00,#lockdown #COVID19 #StayAtHome #StayAtHome #TheLockdown #StaySafe
6129,TheNewsTodayPak,Punjab government to distribute funds among labourers amid lockdown. #Karachi #SocialDistancing #COVID #FightAgainstCoronavirus #Islamabad #Lahore #covid19 #coronaviruspakistan #sindhgovt #StayAtHome #StayHomeSaveLives #coronaupdatesindia,2020-03-31 12:34:36+00:00,#Karachi #SocialDistancing #COVID #FightAgainstCoronavirus #Islamabad #Lahore #covid19 #coronaviruspakistan #sindhgovt #StayAtHome #StayAtHome #StayHomeSaveLives #coronaupdatesindia
6130,digimantralabs,"As important as the lockdown is for the entire world today, there are some grave consequences associated with it. . #covid19 #coronavirusoutbreak #economicimpact #quarantine #restaurantbusiness #smallbusiness #realestate #digimantralabs #digitian",2020-03-31 12:34:33+00:00,#covid19 #coronavirusoutbreak #economicimpact #quarantine #restaurantbusiness #smallbusiness #realestate #digimantralabs #digitian
