,Unnamed: 0,Unnamed: 0.1,User,Text,Date,Hashtags
5384,5981,5981,WeForNews,"In an interview to IANS, #Uttarakhand CM @tsrawatbjp said efforts have already been initiated to boost the state #economy, and that the process will gain momentum once the #lockdown ends. @MygovU @BJP4UK #Covid19India #coronavirus",2020-04-27 07:21:41+00:00,#Uttarakhand #economy #lockdown #Covid19India #coronavirus
5402,6000,6000,pennewstweet,"Lockdown: Does Govt have an exit plan, asks Congress #Lockdown #exitplan #Congress #NarendraModi #ManishTewari #NovelCoronavirus #Coronavirusindia #COVID19 #COVID19India #CoronaVirus #COVID_19 #COVID19outbreak",2020-04-27 06:06:46+00:00,#Lockdown #exitplan #Congress #NarendraModi #ManishTewari #NovelCoronavirus #Coronavirusindia #COVID19 #COVID19India #CoronaVirus #COVID_19 #COVID19outbreak
5412,6011,6011,CatchNews,#Uttarakhand: Shops in 9 districts to remain open only for 6 hours #lockdown #Covid19India #UttarakhandGovernment @tsrawatbjp,2020-04-27 05:01:57+00:00,#Uttarakhand #lockdown #Covid19India #UttarakhandGovernment
5413,6012,6012,SakalMediaNews,घरी जाता येईना अन्‌ कामही बंद. #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra,2020-04-27 05:00:21+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra
5417,6017,6017,SakalMediaNews,"मिळाले तर दोन घास खायचे, चालत राहायचे... #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra",2020-04-27 04:15:02+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra
5419,6019,6019,SakalMediaNews,#lockdown : बुधवार पेठेतील देवदासींच्या मुलांना दूध पुरवठा करणार कात्रज डेअरी! #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #milk,2020-04-27 04:00:15+00:00,#lockdown #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #milk
5421,6021,6021,SakalMediaNews,पुण्यात आता दुकानांसाठी सुधारित वेळ? #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Pune,2020-04-27 03:30:06+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Pune
5423,6024,6024,SakalMediaNews,पुण्यात अडकलेल्या विद्यार्थ्यांसाठी आमदार रोहित पवारांची शासनाला विनंती #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Pune,2020-04-27 02:30:12+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Pune
5427,6029,6029,SakalMediaNews,कोरोनावरील लसीच्या संशोधनाकडं संपूर्ण जगाचं लक्ष लागलंय. त्यावेळी ही बातमी आली. #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Covid19 #Vaccine #ElisaGranato,2020-04-27 00:30:07+00:00,#Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra #Covid19 #Vaccine #ElisaGranato
5459,6067,6067,SakalMediaNews,#video : अमेरिकेत अडकलेल्या पित्याच्या विनंतीवरून पोलिसांनी केला मुलाचा वाढदिवस. #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra,2020-04-26 18:00:12+00:00,#video #Sakal #SakalNews #viral #news #SakalMedia #India #Corona #Covid19india #coronavirus #lockdown #MarathiNews #Maharashtra
